Quarter,Oced_D_Canada,Oced_D_Europe,Oced_D_Japan,Oced_D_Other OECD,Oced_D_U.S. (50 States),Oced_D_U.S. Territories,Oced_D_Total OECD,Oced_D_As % of World Demand,NOced_D_China,NOced_D_Europe,NOced_D_Former Soviet Union,NOced_D_Other Asia,NOced_D_Other Non-OECD,NOced_D_Total Non-OECD,NOced_D_As % of World Demand,Total World Demand,Oced_S_Canada,Oced_S_Mexico,Oced_S_North Sea,Oced_S_Other OECD,Oced_S_U.S. (50 States),Oced_S_Total OECD,Oced_S_As % of World Supply,NOced_S_China,NOced_S_Former Soviet Union,NOced_S_Other Non-OECD,NOced_S_Total OPEC Supply,NOced_S_Total Non-OECD,NOced_S_As % of World Supply,Total World Supply,OPEC Crude Oil Portion,OPEC Non-Crude Liquids,Total OPEC,OPEC_As % of World Supply,OECD Total Demand,OECD Total Supply,OECD Net deficit / surplus,U.S. (50 States) Total Demand,U.S. (50 States) Total Supply,U.S. (50 States) Net deficit / surplus,Former Soviet Union Total Demand,Former Soviet Union Total Supply,Former Soviet Union Net deficit / surplus,China Total Demand,China Total Supply,China Net deficit / surplus
2019 Q3,2.57,14.66,3.43,6.54,20.71,0.17,48.07,47.02,14.37,0.78,5.58,13.74,19.7,54.17,52.98,102.25,5.47,1.93,,4.64,19.45,31.48,31.43,4.89,14.58,15.33,33.88,68.68,68.57,100.17,28.65,5.24,33.88,33.82,48.07,31.48,-16.59,20.71,19.45,-1.26,5.58,14.58,9,14.37,4.89,-9.48
2019 Q2,2.32,14.18,3.39,6.46,20.46,0.17,46.97,46.51,14.65,0.77,5.19,14.11,19.31,54.03,53.49,101,5.47,1.91,,4.59,19.35,31.32,31.17,4.92,14.43,14.88,34.91,69.17,68.83,100.49,29.48,5.44,34.91,34.74,46.97,31.32,-15.65,20.46,19.35,-1.1,5.19,14.43,9.23,14.65,4.92,-9.72
2019 Q1,2.31,14.05,4.06,6.62,20.36,0.19,47.58,47.35,14.46,0.77,5.15,13.95,18.6,52.92,52.66,100.49,5.43,1.91,,4.85,18.86,31.06,30.95,4.89,14.86,14.12,35.39,69.28,69.05,100.34,29.95,5.44,35.39,35.27,47.58,31.06,-16.52,20.36,18.86,-1.49,5.15,14.86,9.71,14.46,4.89,-9.57
2018 Q4,2.58,14.16,3.89,6.38,20.59,0.16,47.77,47.42,14.1,0.77,5.36,13.82,18.91,52.96,52.58,100.73,5.62,1.95,2.95,4.89,19.03,31.49,30.75,4.81,14.88,14.49,36.74,70.93,69.25,102.42,31.42,5.32,36.74,35.87,47.77,31.49,-16.28,20.59,19.03,-1.56,5.36,14.88,9.53,14.1,4.81,-9.29
2018 Q3,2.65,14.7,3.53,6.49,20.71,0.15,48.23,47.63,13.88,0.77,5.5,13.48,19.39,53.02,52.37,101.25,5.41,2.09,2.84,4.65,18.44,30.58,30.11,4.73,14.63,14.81,36.81,70.99,69.89,101.57,31.5,5.32,36.81,36.24,48.23,30.58,-17.65,20.71,18.44,-2.27,5.5,14.63,9.13,13.88,4.73,-9.15
2018 Q2,2.44,14.28,3.42,6.63,20.36,0.15,47.27,47.15,14.14,0.76,5.12,13.95,19.02,52.98,52.85,100.26,5.15,2.13,2.99,4.7,17.43,29.41,29.43,4.8,14.43,14.75,36.54,70.52,70.57,99.93,31.27,5.27,36.54,36.57,47.27,29.41,-17.86,20.36,17.43,-2.93,5.12,14.43,9.31,14.14,4.8,-9.35
2018 Q1,2.42,14.14,4.33,6.66,20.33,0.17,48.05,48.06,13.95,0.76,5.07,13.78,18.37,51.93,51.94,99.98,5.35,2.17,3.05,4.89,16.82,29.24,29.4,4.76,14.43,14.07,36.93,70.19,70.6,99.43,31.59,5.34,36.93,37.14,48.05,29.24,-18.81,20.33,16.82,-3.51,5.07,14.43,9.36,13.95,4.76,-9.2
2017 Q4,2.54,14.5,4.11,6.61,20.21,0.14,48.11,48.22,13.71,0.77,4.88,13.36,18.95,51.67,51.78,99.78,5.19,2.15,3.06,4.71,16.51,28.56,28.81,4.76,14.34,14.54,36.93,70.56,71.19,99.12,31.65,5.28,36.93,37.26,48.11,28.56,-19.56,20.21,16.51,-3.7,4.88,14.34,9.46,13.71,4.76,-8.95
2017 Q3,2.54,14.83,3.68,6.54,20,0.15,47.75,48.02,13.39,0.77,5,13.04,19.48,51.69,51.98,99.43,5,2.18,2.94,4.69,15.59,27.46,27.84,4.76,14.24,14.91,37.27,71.18,72.16,98.64,32.01,5.26,37.27,37.79,47.75,27.46,-20.29,20,15.59,-4.42,5,14.24,9.24,13.39,4.76,-8.63
2017 Q2,2.38,14.38,3.63,6.56,20.08,0.14,47.16,47.65,13.82,0.76,4.76,13.33,19.16,51.82,52.35,98.97,4.61,2.33,3.14,4.81,15.42,27.16,27.83,4.84,14.32,14.58,36.7,70.44,72.17,97.6,31.38,5.33,36.7,37.6,47.16,27.16,-20,20.08,15.42,-4.66,4.76,14.32,9.56,13.82,4.84,-8.98
